id,GIS_ID,NUTZUNG,JAHR,crop_type,crop_code,geometry,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21
7437,316982,Silo- und Grünmais,2019,Silage Maize,3,POINT (478437.6238272426 5247696.311610507),0.6948036679990595,0.697610294117647,0.6987428571428571,0.6828597616865262,0.6893429301137682,0.698455949137148,0.6782568382012053,0.6959395656279509,0.6904364416885285,0.6979142791657116,0.6683509416628388,0.6893732970027248,0.6930501930501931,0.6891467246797195,0.7050092764378479,0.6921633036133271,0.6890717878372199,0.6915606936416185,0.6990180406485499,0.6821222606689734,0.7004921490508553
5850,333047,Silo- und Grünmais,2019,Silage Maize,3,POINT (473547.2484145235 5246859.928379891),0.8635682158920539,0.8571428571428571,0.86371315937676,0.8596557594098732,0.8671133445002792,0.8490284005979074,0.8552437223042836,0.861280487804878,0.8666666666666667,0.8634418604651163,0.8743532889874353,0.8638426626323751,0.8604651162790697,0.8584923848081742,0.8648499355551464,0.8594513340849306,0.8583486238532111,0.853658536585366,0.8602604071153492,0.8548594525078083,0.8623050589577786
1518,265915,Winterraps zur Speiseölgewinnung,2019,Canola,4,POINT (475359.5117696032 5248717.216475718),0.8414376321353064,0.8097634625062909,0.8225469728601253,0.8244545915778791,0.8221778221778221,0.825503355704698,0.83419689119171,0.8290691344583561,0.8174006444683135,0.8042813455657493,0.8335795174790743,0.8092307692307692,0.8431372549019608,0.8217821782178218,0.8244876510772465,0.8115501519756838,0.8256103637269557,0.8181818181818183,0.8338658146964856,0.843551797040169,0.8181818181818183
6547,265915,Winterraps zur Speiseölgewinnung,2019,Canola,4,POINT (475344.2955957894 5248668.005763676),0.6951672862453532,0.7027107536490914,0.6850911263818344,0.7035670356703567,0.6861652739090065,0.6864864864864865,0.6820006174745292,0.6837606837606837,0.678373382624769,0.6847826086956521,0.6845856845856846,0.7004538577912255,0.6954933008526188,0.6904761904761905,0.6918869644484958,0.6727049431992631,0.6954682779456194,0.690350605026373,0.6780487804878048,0.6819145713420176,0.6917829457364341
402,315166,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (478914.4095035679 5252283.257483818),0.543092983733916,0.5153715807310578,0.5524441169245885,0.5413112356812089,0.5602424242424243,0.5254237288135593,0.533769063180828,0.5575922714887293,0.545387088795449,0.5403363392639532,0.5435449610573518,0.5266358550231087,0.531789058649581,0.5494310998735777,0.5393446543889022,0.5718130658184487,0.5320173326913819,0.5404624277456648,0.5326923076923077,0.5351913084553614,0.5462434911976197
7057,315166,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (478819.9509326553 5252162.582286104),0.5620655412115193,0.5807730426164519,0.5640776699029127,0.5535444947209653,0.5668475579674396,0.56737941322725,0.5659781287970839,0.564083270629546,0.5650810245687402,0.5757269279393173,0.5690499510284035,0.559009227780476,0.5582044128835911,0.5593571798859512,0.5532187740446268,0.5574596774193549,0.5549381156857792,0.5696073431922489,0.5688470348689234,0.5617808904452226,0.5502294747577766
1578,317678,Wintergerste,2019,Winter Barley,5,POINT (481024.7639242738 5247135.041261782),0.8324707686409814,0.8347386172006744,0.8412457273072541,0.8339181286549708,0.8400156463915509,0.835964574509049,0.8381633421151675,0.8411468423091826,0.8543361778130582,0.8347622759158223,0.829916476841306,0.8457907159716759,0.8517034068136273,0.8404569627732913,0.8465045592705167,0.8297546012269938,0.8442840865932396,0.8388516746411483,0.833461835003855,0.839348079161816,0.8449642373864296
4576,317671,Wintergerste,2019,Winter Barley,5,POINT (481163.3225559217 5247160.007386573),0.8574338085539716,0.8646176362971093,0.8502202643171807,0.8567901234567902,0.8550506947052197,0.8617375231053604,0.8570653157228153,0.871301775147929,0.8690022848438691,0.867020268990339,0.8600942370424067,0.8596104373392135,0.8697375873135736,0.8509505703422053,0.8609148382298253,0.8630549285176824,0.861850679575498,0.8587800369685766,0.8533381977380518,0.850229990800368,0.8632190369121228
6181,317671,Wintergerste,2019,Winter Barley,5,POINT (481173.392608806 5247195.858395588),0.7068645640074211,0.7040650406504066,0.7115819790166633,0.7177402543256203,0.7142857142857142,0.7235772357723578,0.7032470201397453,0.7176421229284666,0.7155982459803717,0.7114510128152131,0.7237923431549408,0.720958819913952,0.7103563242342155,0.6899517516257604,0.7062077443146897,0.7146396861449515,0.7042483660130718,0.7090606816292602,0.7270875763747454,0.7224169931944732,0.7213285982870274
6257,317678,Wintergerste,2019,Winter Barley,5,POINT (481084.4408700233 5247150.527953783),0.8433448968413364,0.8635778635778635,0.8490007401924501,0.8432766037030109,0.8468384943445206,0.8524286243974786,0.8443202979515828,0.8447488584474885,0.8449582280940353,0.8509225092250923,0.8453570107288199,0.8514888805126272,0.8630549285176824,0.8514599255339995,0.8580360426627437,0.8490781220300323,0.8509152670315153,0.8514888805126272,0.8516452872281093,0.8606049220364457,0.8485523385300668
